v1,v2,I
1.517670,0.635771,0.796064
1.631907,0.701036,0.919135
1.664740,0.727144,1.060134
1.715033,0.814005,1.196979
1.734861,0.833742,1.341401
1.735264,0.904018,1.484044
1.725965,0.912174,1.623441
1.695578,0.943201,1.756163
1.647185,0.930414,1.878066
1.582759,0.922258,1.985426
1.500162,0.870818,2.075563
1.404260,0.817980,2.143370
1.294055,0.715951,2.187512
1.165260,0.609587,2.201853
1.041806,0.449650,2.185236
0.898218,0.275930,2.131956
0.757750,0.066028,2.040705
0.614223,-0.158909,1.908802
0.474382,-0.390799,1.736571
0.338851,-0.607159,1.526353
0.214884,-0.790770,1.282782
0.094361,-0.926373,1.013895
-0.013482,-1.010541,0.729000
-0.113104,-1.046260,0.440732
-0.209121,-1.040523,0.160766
-0.307663,-1.002305,-0.100072
-0.413198,-0.937645,-0.333476
-0.527099,-0.850416,-0.533316
-0.649351,-0.743747,-0.695758
-0.780002,-0.624220,-0.819751
-0.917467,-0.503775,-0.907917
-1.031679,-0.399879,-0.967020
-1.076542,-0.327559,-1.005371
-1.104265,-0.284120,-1.028395
-1.130708,-0.253288,-1.043157
-1.156531,-0.239243,-1.053257
-1.176840,-0.235514,-1.061771
-1.201882,-0.241657,-1.070669
-1.222463,-0.252475,-1.082007
-1.240036,-0.270304,-1.096258
-1.250528,-0.287677,-1.113887
-1.262019,-0.305446,-1.134315
-1.268886,-0.318913,-1.157294
-1.261044,-0.332038,-1.181743
-1.255131,-0.337903,-1.205614
-1.240514,-0.335300,-1.228513
-1.222052,-0.329242,-1.247977
-1.203604,-0.313297,-1.263195
-1.175798,-0.293982,-1.273206
-1.147958,-0.268868,-1.276425
-1.115266,-0.237343,-1.272755
-1.070036,-0.203309,-1.261037
-1.029626,-0.162561,-1.240116
-0.986593,-0.116182,-1.210369
-0.942028,-0.070458,-1.171056
-0.899409,-0.022471,-1.122689
-0.857770,0.022921,-1.066023
-0.817579,0.065484,-1.001863
-0.781680,0.103121,-0.931594
-0.749029,0.134839,-0.856791
-0.721723,0.159112,-0.779169
-0.701361,0.175647,-0.700725
-0.687078,0.183291,-0.623557
-0.680627,0.182293,-0.549631
-0.681552,0.172593,-0.481038
-0.690741,0.154754,-0.419513
-0.709217,0.129318,-0.366742
-0.735917,0.096835,-0.324131
-0.771322,0.058269,-0.292769
-0.814878,0.014421,-0.273555
-0.867115,-0.033739,-0.267038
-0.925820,-0.085567,-0.273637
-0.990388,-0.140030,-0.293379
-1.059393,-0.196443,-0.326222
-1.131870,-0.254096,-0.371845
-1.204668,-0.312590,-0.429878
-1.278276,-0.371267,-0.499648
-1.347364,-0.429914,-0.580640
-1.406667,-0.487825,-0.671714
-1.474272,-0.542751,-0.771396
-1.526576,-0.595703,-0.879822
-1.569811,-0.649429,-0.994019
-1.602229,-0.695074,-1.113232
-1.622571,-0.736737,-1.234840
-1.629359,-0.768458,-1.356361
-1.631304,-0.791492,-1.475024
-1.600810,-0.801911,-1.588798
-1.565493,-0.805820,-1.692774
-1.513473,-0.777893,-1.785492
-1.462140,-0.748353,-1.862205
-1.372034,-0.683910,-1.922349
-1.282492,-0.625203,-1.959983
-1.182061,-0.507430,-1.974946
-1.074121,-0.401802,-1.961578
-0.958776,-0.244261,-1.920027
-0.840264,-0.095956,-1.846615
-0.720128,0.086657,-1.741499
-0.602008,0.254287,-1.604770
-0.486888,0.425911,-1.437776
-0.378231,0.568783,-1.245073
-0.277632,0.687862,-1.030760
-0.187821,0.768951,-0.803042
-0.106783,0.816006,-0.569258
-0.035254,0.828800,-0.338693
0.029751,0.813274,-0.119194
0.092219,0.773059,0.081973
0.155208,0.712871,0.259434
0.220129,0.635097,0.409002
0.286939,0.542632,0.528007
0.355295,0.438727,0.615128
0.425152,0.329075,0.670797
0.496798,0.221228,0.697335
0.569801,0.124195,0.698991
0.638774,0.046167,0.681517
0.690929,-0.007985,0.651218
0.727554,-0.039420,0.613589
0.762951,-0.052297,0.573518
0.804484,-0.049446,0.535352
0.853180,-0.032384,0.502565
0.909048,-0.002737,0.478053
0.971081,0.037915,0.464222
1.037764,0.087856,0.462925
1.107679,0.145280,0.475500
1.180727,0.208340,0.502771
1.251584,0.275517,0.545182
1.323905,0.344661,0.602316
1.388536,0.414155,0.673947
1.446813,0.482432,0.758324
1.504667,0.545844,0.854022
1.549632,0.605285,0.959490
1.592205,0.660399,1.071740
1.609548,0.707171,1.189561
1.620796,0.749224,1.308257
1.609116,0.771609,1.426244
1.602121,0.789401,1.538368
1.570883,0.781381,1.643875
1.531410,0.778730,1.737830
1.462571,0.740247,1.819263
1.396542,0.704569,1.882636
1.307318,0.619799,1.927525
1.209594,0.546555,1.948188
1.111620,0.417746,1.944342
0.994164,0.296342,1.911832
0.880477,0.137191,1.849569
0.762655,-0.024169,1.756209
0.643531,-0.197700,1.631436
0.530979,-0.361623,1.476894
0.420938,-0.513176,1.295330
0.319270,-0.635862,1.091598
0.226837,-0.728623,0.871758
0.144732,-0.785281,0.643854
0.072151,-0.809283,0.415952
0.007329,-0.802935,0.196535
-0.053017,-0.771543,-0.007286
-0.112488,-0.718736,-0.189490
-0.173060,-0.648128,-0.345689
-0.235118,-0.561976,-0.472702
-0.298304,-0.463408,-0.568760
-0.362383,-0.356755,-0.633555
-0.427507,-0.248601,-0.668548
-0.493963,-0.146924,-0.677006
-0.560600,-0.059991,-0.663832
-0.620956,0.005831,-0.634976
-0.666689,0.048241,-0.596418
-0.703429,0.069722,-0.553305
-0.742311,0.073854,-0.510274
-0.788210,0.062921,-0.471271
-0.842063,0.038526,-0.439506
-0.903854,0.002229,-0.417653
-0.971364,-0.044479,-0.407905
-1.042018,-0.099790,-0.411854
-1.117126,-0.161610,-0.430544
-1.208810,-0.228445,-0.464727
-1.277628,-0.301916,-0.515834
-1.352770,-0.376791,-0.581289
-1.416081,-0.448403,-0.662532
-1.490170,-0.518979,-0.755947
-1.547347,-0.584516,-0.862248
-1.595508,-0.651488,-0.977403
-1.626645,-0.707082,-1.100270
-1.656539,-0.757688,-1.226972
-1.666242,-0.793874,-1.355768
-1.662245,-0.828282,-1.482343
-1.641039,-0.841554,-1.604209
-1.609175,-0.847444,-1.717428
-1.550942,-0.829539,-1.819315
-1.489658,-0.803380,-1.905265
-1.415347,-0.740414,-1.973645
-1.280453,-0.675730,-2.020102
-1.212062,-0.575675,-2.039869
-1.095548,-0.424139,-2.033213
-0.975076,-0.306577,-1.994056
-0.848766,-0.113096,-1.924217
-0.722796,0.049832,-1.819253
-0.594154,0.256228,-1.680324
-0.469315,0.428018,-1.509123
-0.365690,0.600473,-1.307194
-0.245629,0.726101,-1.083860
-0.146541,0.821401,-0.841242
-0.057426,0.875785,-0.592854
0.023095,0.893271,-0.345268
0.098525,0.878719,-0.109307
0.173435,0.837830,0.107902
0.251350,0.775029,0.299775
0.333480,0.693386,0.461952
0.419731,0.595697,0.591398
0.509922,0.486461,0.687038
0.604235,0.373127,0.749971
0.701776,0.266124,0.783871
0.790255,0.177072,0.794757
0.841947,0.114058,0.789568
0.872138,0.075144,0.773613
0.902668,0.053485,0.752309
0.937636,0.046907,0.730016
0.976942,0.054192,0.710048
1.019977,0.073603,0.695291
1.065841,0.103259,0.688016
1.113444,0.141056,0.689925
1.162009,0.184898,0.702126
1.208767,0.232752,0.725196
1.257655,0.282443,0.759017
1.301506,0.332540,0.803535
1.339444,0.382140,0.857506
1.354421,0.427614,0.919734
1.402269,0.465214,0.986643
1.422622,0.494306,1.060523
1.435399,0.532160,1.135618
1.443298,0.549407,1.212443
1.432531,0.567319,1.288296
1.418436,0.570008,1.359720
1.392806,0.561629,1.425646
1.358845,0.543576,1.482614
1.308160,0.511536,1.529172
1.278243,0.468766,1.562177
1.192625,0.408918,1.582656
1.133348,0.355320,1.584180
1.065034,0.255945,1.569747
0.981632,0.181835,1.535656
0.903857,0.075960,1.481620
0.823501,-0.019517,1.408849
0.744824,-0.122693,1.316425
0.668402,-0.215107,1.207344
0.596162,-0.300982,1.082757
0.531186,-0.371319,0.946613
0.470170,-0.426157,0.802173
0.426590,-0.462649,0.653803
0.386050,-0.479656,0.506608
0.357526,-0.478838,0.364350
0.339647,-0.461352,0.231840
0.332439,-0.428798,0.112387
0.335748,-0.383152,0.009175
0.349531,-0.326312,-0.075559
0.374012,-0.260314,-0.140156
0.409828,-0.187192,-0.183676
0.457965,-0.109130,-0.205783
0.519661,-0.028381,-0.206737
0.596275,0.052778,-0.187333
0.689105,0.132295,-0.148814
0.798996,0.208629,-0.092731
0.925190,0.281123,-0.020739
1.061909,0.350255,0.065645
1.195818,0.417313,0.165135
1.319234,0.483467,0.276495
1.430655,0.550180,0.398971
1.537890,0.618022,0.532004
1.637816,0.688511,0.675819
1.729304,0.763148,0.830002
1.805142,0.841143,0.994411
1.857397,0.920797,1.167532
1.908098,0.995437,1.346449
1.931614,1.059576,1.529992
1.921728,1.127005,1.712682
1.916498,1.169328,1.890320
1.865415,1.193287,2.060487
1.811687,1.223585,2.216460
1.723601,1.193220,2.358731
1.618966,1.199948,2.477896
1.490209,1.107126,2.580263
1.352433,1.080721,2.648284
1.187608,0.897209,2.698846
1.016058,0.838069,2.698720
0.837196,0.522008,2.680164
0.649529,0.396577,2.586876
0.470045,-0.074512,2.464133
0.288392,-0.316721,2.254730
0.115969,-0.838194,1.992642
-0.049729,-1.123341,1.671828
-0.204193,-1.432553,1.288484
-0.351824,-1.551427,0.883505
-0.500439,-1.598643,0.451693
-0.660507,-1.560508,0.040364
-0.838029,-1.488465,-0.342464
-1.034243,-1.375688,-0.674705
-1.249209,-1.239905,-0.952627
-1.462914,-1.088465,-1.174669
-1.551179,-0.962095,-1.352437
-1.590461,-0.896822,-1.496794
-1.623663,-0.849372,-1.621617
-1.634669,-0.830115,-1.732804
-1.640152,-0.821701,-1.833821
-1.627117,-0.814046,-1.926731
-1.604933,-0.810517,-2.010501
-1.550443,-0.789165,-2.084646
-1.507710,-0.768066,-2.144733
-1.433803,-0.699252,-2.190806
-1.341751,-0.655902,-2.216775
-1.256476,-0.540276,-2.222648
-1.136912,-0.438403,-2.201858
-1.036044,-0.287350,-2.154032
-0.915480,-0.123721,-2.075386
-0.795806,0.052664,-1.965049
-0.672882,0.240583,-1.822610
-0.551933,0.419073,-1.649038
-0.438631,0.584063,-1.446794
-0.329561,0.717789,-1.221069
-0.230515,0.816472,-0.977512
-0.141340,0.877087,-0.724883
-0.062205,0.901501,-0.471820
0.009224,0.894248,-0.227554
0.076026,0.860474,0.000012
0.142292,0.804631,0.204298
0.210603,0.729874,0.380394
0.281593,0.638242,0.524734
0.354995,0.532174,0.635162
0.430540,0.416092,0.711164
0.508524,0.297319,0.754262
0.588960,0.185722,0.768246
0.667291,0.091848,0.758959
0.727654,0.023614,0.733391
