t,I,V,I',V'
1599.862286,-0.189210,nan,-0.189210,-64.385920
1599.902476,-0.191530,nan,-0.191530,-64.458340
1599.942667,-0.193780,nan,-0.193780,-64.524690
1599.982857,-0.198400,nan,-0.198400,-64.634370
1600.023048,-0.202170,nan,-0.202170,-64.688150
1600.063238,-0.204410,nan,-0.204410,-64.725720
1600.103429,-0.206550,nan,-0.206550,-64.787680
1600.143619,-0.210350,nan,-0.210350,-64.885980
1600.183810,-0.213460,nan,-0.213460,-65.038840
1600.224000,-0.217130,nan,-0.217130,-65.162890
1600.264190,-0.221460,nan,-0.221460,-65.222140
1600.304381,-0.224960,nan,-0.224960,-65.299060
1600.344571,-0.229030,nan,-0.229030,-65.428370
1600.384762,-0.234540,nan,-0.234540,-65.562920
1600.424952,-0.239110,nan,-0.239110,-65.660050
1600.465143,-0.244050,nan,-0.244050,-65.737290
1600.505333,-0.249380,nan,-0.249380,-65.793800
1600.545524,-0.254550,nan,-0.254550,-65.910880
1600.585714,-0.259440,nan,-0.259440,-66.055250
1600.625905,-0.265920,nan,-0.265920,-66.207870
1600.666095,-0.269920,nan,-0.269920,-66.348010
1600.706286,-0.274560,nan,-0.274560,-66.497560
1600.746476,-0.280520,nan,-0.280520,-66.614340
1600.786667,-0.285910,nan,-0.285910,-66.767960
1600.826857,-0.290530,nan,-0.290530,-66.908350
1600.867048,-0.294700,nan,-0.294700,-67.048980
1600.907238,-0.298420,nan,-0.298420,-67.159260
1600.947429,-0.303550,nan,-0.303550,-67.321330
1600.987619,-0.310050,nan,-0.310050,-67.454430
1601.027810,-0.316270,nan,-0.316270,-67.606380
1601.068000,-0.318830,nan,-0.318830,-67.712990
1601.108190,-0.321960,nan,-0.321960,-67.865970
1601.148381,-0.324570,nan,-0.324570,-68.006930
1601.188571,-0.329060,nan,-0.329060,-68.108300
1601.228762,-0.331760,nan,-0.331760,-68.239480
1601.268952,-0.334550,nan,-0.334550,-68.426240
1601.309143,-0.335610,nan,-0.335610,-68.582610
1601.349333,-0.336950,nan,-0.336950,-68.695740
1601.389524,-0.336470,nan,-0.336470,-68.828240
1601.429714,-0.336950,nan,-0.336950,-68.979460
1601.469905,-0.338110,nan,-0.338110,-69.115280
1601.510095,-0.337650,nan,-0.337650,-69.217770
1601.550286,-0.335400,nan,-0.335400,-69.313850
1601.590476,-0.332920,nan,-0.332920,-69.424470
1601.630667,-0.330150,nan,-0.330150,-69.517040
1601.670857,-0.325880,nan,-0.325880,-69.652610
1601.711048,-0.320330,nan,-0.320330,-69.791510
1601.751238,-0.315710,nan,-0.315710,-69.922610
1601.791429,-0.312190,nan,-0.312190,-70.002550
1601.831619,-0.307230,nan,-0.307230,-70.024360
1601.871810,-0.300880,nan,-0.300880,-70.001910
1601.912000,-0.295600,nan,-0.295600,-70.033330
1601.952190,-0.289370,nan,-0.289370,-70.138190
1601.992381,-0.282880,nan,-0.282880,-70.240290
1602.032571,-0.276920,nan,-0.276920,-70.292130
1602.072762,-0.270030,nan,-0.270030,-70.350540
1602.112952,-0.262070,nan,-0.262070,-70.432820
1602.153143,-0.257570,nan,-0.257570,-70.506090
1602.193333,-0.252310,nan,-0.252310,-70.458070
1602.233524,-0.244240,nan,-0.244240,-70.408190
1602.273714,-0.236010,nan,-0.236010,-70.397760
1602.313905,-0.230390,nan,-0.230390,-70.478280
1602.354095,-0.223550,nan,-0.223550,-70.535200
1602.394286,-0.217460,nan,-0.217460,-70.571040
1602.434476,-0.213740,nan,-0.213740,-70.524500
1602.474667,-0.209750,nan,-0.209750,-70.557430
1602.514857,-0.203120,nan,-0.203120,-70.577040
1602.555048,-0.196380,nan,-0.196380,-70.575210
1602.595238,-0.192370,nan,-0.192370,-70.557710
1602.635429,-0.189320,nan,-0.189320,-70.625990
1602.675619,-0.184570,nan,-0.184570,-70.617400
1602.715810,-0.178660,nan,-0.178660,-70.579380
1602.756000,-0.174430,nan,-0.174430,-70.576100
1602.796190,-0.170840,nan,-0.170840,-70.604930
1602.836381,-0.168380,nan,-0.168380,-70.633420
1602.876571,-0.164630,nan,-0.164630,-70.681700
1602.916762,-0.161530,nan,-0.161530,-70.671940
1602.956952,-0.157880,nan,-0.157880,-70.634440
1602.997143,-0.156460,nan,-0.156460,-70.655410
1603.037333,-0.153030,nan,-0.153030,-70.641980
1603.077524,-0.150550,nan,-0.150550,-70.616870
1603.117714,-0.148280,nan,-0.148280,-70.583030
1603.157905,-0.146600,nan,-0.146600,-70.596500
1603.198095,-0.144960,nan,-0.144960,-70.684030
1603.238286,-0.143520,nan,-0.143520,-70.772820
1603.278476,-0.142220,nan,-0.142220,-70.748100
1603.318667,-0.139820,nan,-0.139820,-70.736030
1603.358857,-0.138960,nan,-0.138960,-70.732420
1603.399048,-0.138110,nan,-0.138110,-70.746290
1603.439238,-0.137630,nan,-0.137630,-70.810020
1603.479429,-0.135510,nan,-0.135510,-70.869060
1603.519619,-0.133740,nan,-0.133740,-70.870410
1603.559810,-0.133180,nan,-0.133180,-70.892290
1603.600000,-0.133370,nan,-0.133370,-70.880550
1603.640190,-0.134120,nan,-0.134120,-70.886440
1603.680381,-0.132880,nan,-0.132880,-70.873650
1603.720571,-0.132550,nan,-0.132550,-70.902450
1603.760762,-0.131540,nan,-0.131540,-70.931410
