file_N:23,train,seed:None,percent:5275,measured,n:3,N:4
t,I,V,V'
1059.66,-0.03947,-60.66791,-60.6785
1059.67,-0.03846,-60.6785,-60.67773
1059.68,-0.03835,-60.67773,-60.67588
1059.69,-0.03832,-60.67588,-60.68127
1059.7,-0.03858,-60.68127,-60.68734
1059.71,-0.03885,-60.68734,-60.69802
1059.72,-0.03932,-60.69802,-60.70913
1059.73,-0.03981,-60.70913,-60.71782
1059.74,-0.0405,-60.71782,-60.72627
1059.75,-0.04121,-60.72627,-60.736
1059.76,-0.04134,-60.736,-60.74584
1059.77,-0.04141,-60.74584,-60.7371
1059.78,-0.04137,-60.7371,-60.7266
1059.79,-0.04133,-60.7266,-60.73727
1059.8,-0.04147,-60.73727,-60.74995
1059.81,-0.04162,-60.74995,-60.7433
1059.82,-0.04153,-60.7433,-60.73481
1059.83,-0.04141,-60.73481,-60.71336
1059.84,-0.04154,-60.71336,-60.69067
1059.85,-0.04169,-60.69067,-60.69147
1059.8600000000001,-0.0417,-60.69147,-60.69451
1059.8700000000001,-0.04169,-60.69451,-60.70234
1059.88,-0.04172,-60.70234,-60.71063
1059.89,-0.04175,-60.71063,-60.72293
1059.9,-0.04147,-60.72293,-60.73562
1059.91,-0.04115,-60.73562,-60.74248
1059.92,-0.04065,-60.74248,-60.74879
1059.93,-0.04013,-60.74879,-60.75318
1059.94,-0.03997,-60.75318,-60.75739
1059.95,-0.03984,-60.75739,-60.76026
1059.96,-0.04005,-60.76026,-60.763
1059.97,-0.0403,-60.763,-60.76518
1059.98,-0.04083,-60.76518,-60.76731
1059.99,-0.04139,-60.76731,-60.76298
1060.0,-0.04166,-60.76298,-60.75802
1060.01,-0.0419,-60.75802,-60.75841
1060.02,-0.04208,-60.75841,-60.7593
1060.03,-0.04225,-60.7593,-60.76614
1060.04,-0.04225,-60.76614,-60.77356
1060.05,-0.04222,-60.77356,-60.76456
1060.06,-0.04161,-60.76456,-60.75399
1060.07,-0.04093,-60.75399,-60.74233
1060.08,-0.04018,-60.74233,-60.73057
1060.09,-0.03941,-60.73057,-60.71301
1060.1,-0.0391,-60.71301,-60.6949
1060.1100000000001,-0.03882,-60.6949,-60.68593
1060.1200000000001,-0.03895,-60.68593,-60.67784
1060.13,-0.03912,-60.67784,-60.69657
1060.14,-0.03933,-60.69657,-60.71786
1060.15,-0.03955,-60.71786,-60.72553
1060.16,-0.03956,-60.72553,-60.7319
1060.17,-0.03954,-60.7319,-60.73957
1060.18,-0.03989,-60.73957,-60.74737
1060.19,-0.04028,-60.74737,-60.75341
1060.2,-0.04085,-60.75341,-60.75929
1060.21,-0.04144,-60.75929,-60.74818
1060.22,-0.04171,-60.74818,-60.73545
1060.23,-0.04196,-60.73545,-60.74473
1060.24,-0.04216,-60.74473,-60.7561
1060.25,-0.04237,-60.7561,-60.74061
1060.26,-0.0425,-60.74061,-60.72254
1060.27,-0.04263,-60.72254,-60.70372
1060.28,-0.04272,-60.70372,-60.68483
1060.29,-0.0428,-60.68483,-60.6795
1060.3,-0.0425,-60.6795,-60.67547
1060.31,-0.04216,-60.67547,-60.67022
1060.32,-0.04192,-60.67022,-60.66486
1060.33,-0.04168,-60.66486,-60.67073
1060.34,-0.04177,-60.67073,-60.67769
1060.35,-0.04189,-60.67769,-60.6807
1060.3600000000001,-0.04188,-60.6807,-60.68335
1060.3700000000001,-0.04186,-60.68335,-60.6982
