file_N:27,train,seed:None,percent:5025,measured,n:0, N:4
t,I,V,V'
4.12,-0.04456,-59.12915,-0.04501
4.13,-0.04501,-59.13955,-0.04544
4.14,-0.04544,-59.15225,-0.04551
4.15,-0.04551,-59.15254,-0.04551
4.16,-0.04551,-59.15016,-0.04516
4.17,-0.04516,-59.1315,-0.04474
4.18,-0.04474,-59.10936,-0.04415
4.19,-0.04415,-59.10942,-0.04351
4.2,-0.04351,-59.11424,-0.04286
4.21,-0.04286,-59.10778,-0.0422
4.22,-0.0422,-59.09889,-0.04174
4.23,-0.04174,-59.09304,-0.04133
4.24,-0.04133,-59.08784,-0.04129
4.25,-0.04129,-59.08886,-0.04133
4.26,-0.04133,-59.09123,-0.04096
4.2700000000000005,-0.04096,-59.08764,-0.0405
4.28,-0.0405,-59.08279,-0.04038
4.29,-0.04038,-59.07118,-0.04033
4.3,-0.04033,-59.05811,-0.04072
4.3100000000000005,-0.04072,-59.06489,-0.0412
4.32,-0.0412,-59.07592,-0.04151
4.33,-0.04151,-59.07561,-0.04179
4.34,-0.04179,-59.07287,-0.04198
4.3500000000000005,-0.04198,-59.07579,-0.04215
4.36,-0.04215,-59.07991,-0.04239
4.37,-0.04239,-59.10044,-0.04264
4.38,-0.04264,-59.12448,-0.04264
4.39,-0.04264,-59.13588,-0.04258
4.4,-0.04258,-59.14457,-0.04226
4.41,-0.04226,-59.15752,-0.04187
4.42,-0.04187,-59.1714,-0.04147
4.43,-0.04147,-59.17456,-0.04107
4.44,-0.04107,-59.17541,-0.04075
4.45,-0.04075,-59.17406,-0.04044
4.46,-0.04044,-59.17222,-0.04042
4.47,-0.04042,-59.16827,-0.04047
4.48,-0.04047,-59.16386,-0.04073
4.49,-0.04073,-59.13327,-0.04103
4.5,-0.04103,-59.09705,-0.04149
4.51,-0.04149,-59.07619,-0.04198
4.5200000000000005,-0.04198,-59.05862,-0.04223
4.53,-0.04223,-59.04856,-0.04242
4.54,-0.04242,-59.04013,-0.04198
